learning_rate,batch_size,gamma,buffer_size,train_freq,gradient_steps,exploration_fraction,exploration_initial_eps,exploration_final_eps,run,final_risk,train_time_minutes,model_path
0.0001,128,0.995,300000,4,1,0.25,1.0,0.05,0,11.179,2.43,models/dqn/dqn_heart_run_0
0.0002,128,0.995,300000,4,1,0.2,1.0,0.05,1,9.273,3.01,models/dqn/dqn_heart_run_1
7e-05,256,0.997,400000,4,1,0.3,1.0,0.03,2,12.311,3.13,models/dqn/dqn_heart_run_2
0.0003,128,0.99,300000,4,1,0.35,1.0,0.05,3,9.086,3.0,models/dqn/dqn_heart_run_3
0.0005,128,0.992,250000,4,1,0.2,1.0,0.02,4,12.086,2.97,models/dqn/dqn_heart_run_4
0.0001,64,0.998,350000,4,1,0.25,1.0,0.05,5,27.295,2.66,models/dqn/dqn_heart_run_5
0.0002,256,0.995,300000,4,1,0.2,1.0,0.02,6,9.086,3.11,models/dqn/dqn_heart_run_6
0.0001,512,0.995,500000,4,1,0.25,1.0,0.03,7,11.596,3.35,models/dqn/dqn_heart_run_7
0.0007,128,0.99,250000,4,1,0.15,1.0,0.02,8,15.026,2.99,models/dqn/dqn_heart_run_8
0.0004,64,0.99,250000,4,1,0.1,1.0,0.01,9,9.086,2.83,models/dqn/dqn_heart_run_9
